O que caracteriza a busca sequencial em tabelas?;Consiste na varredura serial da tabela, sendo ineficiente para grandes conjuntos de dados.;Realiza comparações entre elementos para determinar a posição do elemento procurado.;Utiliza comparações apenas entre os elementos na primeira metade da tabela.;É mais eficiente para tabelas ordenadas do que para tabelas não ordenadas.;Utiliza a função de hash para encontrar rapidamente o elemento procurado.;A
Quais são algumas maneiras de tornar a busca sequencial em tabelas mais eficiente?;Ordenar os dados antes de efetuar a pesquisa e mover cada entrada para o início da estrutura sempre que ela for solicitada.;Dividir a tabela em múltiplas partes e realizar a pesquisa em cada parte separadamente.;Utilizar uma função de hash para calcular a posição do elemento procurado.;Armazenar os elementos em uma lista ligada para garantir o acesso rápido.;Alocar mais memória para a tabela.;A
O que caracteriza a busca binária em tabelas?;É aplicada em tabelas ordenadas e reduz o tamanho da estrutura a ser pesquisada pela metade a cada comparação.;Realiza comparações entre elementos para determinar a posição do elemento procurado.;Utiliza comparações apenas entre os elementos na primeira metade da tabela.;É mais eficiente para tabelas não ordenadas do que para tabelas ordenadas.;Utiliza a função de hash para encontrar rapidamente o elemento procurado.;A
Qual é a principal característica de uma tabela hash?;Associa chaves a valores através de uma função hash, permitindo uma busca rápida e eficiente.;Armazena os elementos em ordem alfabética para facilitar a pesquisa sequencial.;Utiliza uma lista ligada para armazenar os elementos.;Possui um tamanho fixo determinado no momento da criação.;Utiliza uma função de rehash para resolver colisões.;A
O que é uma colisão em uma tabela hash?;É a geração de duas ou mais posições iguais para chaves diferentes, causando a sobreposição de elementos.;É a busca por um elemento na tabela utilizando a função de hash.;É a busca por um elemento na tabela utilizando a função de rehash.;É a geração de duas ou mais posições diferentes para a mesma chave.;É a inserção de um novo elemento na tabela.;A
Como a função de hash contribui para a eficiência de uma tabela hash?;Ela calcula a posição onde um elemento deve ser armazenado, permitindo uma busca rápida e eficiente.;Ela ordena os elementos na tabela alfabeticamente, facilitando a busca sequencial.;Ela resolve colisões, garantindo que cada elemento tenha uma posição única na tabela.;Ela redimensiona dinamicamente a tabela para acomodar novos elementos.;Ela limita o número de elementos que podem ser armazenados na tabela.;A
Por que é importante escolher um bom tamanho para uma tabela hash?;Para garantir que a função de hash distribua da melhor forma os valores dentro da tabela e minimize colisões.;Para limitar o número de elementos que podem ser armazenados na tabela.;Para facilitar a busca sequencial na tabela.;Para garantir que todos os elementos tenham uma posição única na tabela.;Para reduzir o tempo de busca em tabelas muito grandes.;A
O que caracteriza a implementação por buckets em tabelas hash?;Divide a tabela de hash em "buckets" e utiliza a função de hash para determinar em qual bucket um elemento deve ser armazenado.;Armazena múltiplos elementos com a mesma posição de hash em uma lista ligada associada a essa posição.;Utiliza uma função de rehash para encontrar rapidamente a próxima posição livre em caso de colisão.;Redimensiona dinamicamente a tabela para acomodar novos elementos.;A
Qual é uma preocupação ao escolher uma função de hash para uma tabela hash?;Que ela forneça índices únicos para o conjunto das chaves de entrada possíveis e que seja fácil de computar.;Que ela gere muitas colisões e que seja difícil de implementar.;Que ela gere poucas colisões e que seja difícil de computar.;Que ela gere índices iguais para chaves diferentes e que seja fácil de implementar.;Que ela gere poucas colisões e que seja fácil de computar.;A
O que caracteriza a raiz de uma árvore?;É o nodo que dá origem à árvore e não tem antecessor direto.;É o nodo que não possui filhos.;É o nodo que possui o maior número de filhos na árvore.;É o nodo que não possui irmãos.;É o nodo que está no nível mais profundo da árvore.;A
O que é um nodo filho em uma árvore?;É um nodo que é sucessor direto de outro nodo na árvore.;É um nodo que não possui antecessores diretos na árvore.;É um nodo que possui um grau máximo na árvore.;É um nodo que não possui filhos na árvore.;É um nodo que está no nível mais profundo da árvore.;A
Qual é a definição de um nodo folha em uma árvore?;É um nodo que não possui filhos.;É um nodo que está no nível mais profundo da árvore.;É um nodo que possui um antecessor direto na árvore.;É um nodo que possui um grau máximo na árvore.;É um nodo que possui apenas um filho.;A
O que é um caminho em uma árvore?;É uma sequência de nodos de um nodo inicial a um nodo final, onde cada nodo é filho do anterior.;É uma sequência de nodos de um nodo inicial a um nodo final, onde cada nodo é pai do anterior.;É uma sequência de nodos de um nodo inicial a um nodo final, onde cada nodo é irmão do anterior.;É uma sequência de nodos de um nodo inicial a um nodo final, onde cada nodo é filho do próximo.;É uma sequência de nodos de um nodo inicial a um nodo final, onde cada nodo é antecessor do próximo.;A
O que é o comprimento de um caminho em uma árvore?;É o número de nodos de um caminho menos um.;É o número de nodos de um caminho mais um.;É a profundidade do nodo final do caminho.;É a soma dos graus dos nodos no caminho.;É o número de nodos de um caminho.;A
O que é a profundidade de um nodo em uma árvore?;É o comprimento do caminho da raiz da árvore até o nodo.;É a soma dos graus dos nodos no caminho até o nodo.;É o número de filhos do nodo.;É o número de irmãos do nodo.;É o número de descendentes do nodo.;A
O que caracteriza uma árvore binária?;Cada nodo pode ter no máximo dois filhos, uma subárvore à esquerda e outra à direita.;Cada nodo pode ter qualquer número de filhos, não havendo restrição quanto ao número máximo.;Cada nodo deve ter exatamente dois filhos, nem mais nem menos.;Cada nodo não possui filhos.;Cada nodo pode ter no máximo três filhos.;A
O que é uma floresta em termos de árvores?;É um conjunto de árvores disjuntas.;É um conjunto de nodos irmãos.;É um conjunto de nodos folha.;É um conjunto de nodos pai.;É um conjunto de nodos filhos.;A
Qual é a definição de um nodo pai em uma árvore?;É um nodo antecessor direto de outro nodo na árvore.;É um nodo que não possui filhos na árvore.;É um nodo que está no nível mais profundo da árvore.;É um nodo que possui um grau máximo na árvore.;É um nodo que está no nível mais alto da árvore.;A
Como é representada uma árvore utilizando um vetor sequencial?;Cada dupla de posições representa um nodo e seu número de filhos.;Cada posição do vetor armazena o índice do nodo pai.;Cada posição do vetor contém uma referência para a lista encadeada dos nodos-filhos.;Cada nodo contém o valor do dado e referências para os nodos filhos.;Cada nodo contém o valor do dado e referências para os nodos filhos e para o pai.;A
Como é representada uma árvore utilizando listas encadeadas de filhos?;Um vetor com uma posição para cada nodo, cada posição contendo uma referência para a lista encadeada dos nodos-filhos.;Cada posição do vetor armazena o índice do nodo pai.;Cada nodo contém o valor do dado e referências para os nodos filhos.;Cada nodo contém o valor do dado e referências para os nodos filhos e para o pai.;Cada nodo contém o valor do dado e referências para os nodos filhos.;A
Como é representada uma árvore utilizando encadeamento de nodos?;Cada nodo contém o valor do dado e referências para os nodos filhos, que também são representados dessa forma.;Cada posição do vetor armazena o índice do nodo pai.;Um vetor com uma posição para cada nodo, cada posição contendo uma referência para a lista encadeada dos nodos-filhos.;Cada nodo contém o valor do dado e referências para os nodos filhos e para o pai.;Cada dupla de posições representa um nodo e seu número de filhos.;A
Qual é o primeiro passo necessário para transformar uma árvore qualquer em uma árvore binária?;Ligar os nodos irmãos;Remover as ligações entre pais e filhos;Remover as ligações entre irmãos;Ligar os nodos filhos;Transformar todos os nodos em nodos folha;a
Qual é a característica principal do percurso em profundidade pré-fixado?;Escreve o conteúdo do nodo antes de percorrer as sub-árvores;Escreve o conteúdo do nodo após percorrer as sub-árvores da esquerda e da direita;Percorre a sub-árvore da esquerda antes de escrever o conteúdo do nodo;Percorre a sub-árvore da direita antes de escrever o conteúdo do nodo;Nenhuma das anteriores;A
Como é realizado o percurso em profundidade central?;Percorre a sub-árvore da esquerda, escreve o conteúdo do nodo e depois percorre a sub-árvore da direita;Escreve o conteúdo do nodo, percorre a sub-árvore da esquerda e depois a sub-árvore da direita;Percorre a sub-árvore da esquerda, escreve o conteúdo do nodo e depois percorre a sub-árvore da direita;Escreve o conteúdo do nodo, percorre a sub-árvore da direita e depois a sub-árvore da esquerda;Nenhuma das anteriores;B
Qual é a principal característica do percurso em profundidade pós-fixado?;Escreve o conteúdo do nodo após percorrer as sub-árvores da esquerda e da direita;Escreve o conteúdo do nodo antes de percorrer as sub-árvores;Percorre a sub-árvore da direita antes de escrever o conteúdo do nodo;Percorre a sub-árvore da esquerda antes de escrever o conteúdo do nodo;Nenhuma das anteriores;A
No percurso em profundidade central à direita, qual parte da árvore é percorrida por último?;Sub-árvore da direita;Sub-árvore da esquerda;Nenhuma das anteriores;Ambas as sub-árvores são percorridas ao mesmo tempo;Não é possível determinar;B
Quando realizamos o percurso em profundidade pré-fixado à esquerda, em que ordem as sub-árvores são percorridas?;Primeiro a sub-árvore da esquerda e depois a sub-árvore da direita;Primeiro a sub-árvore da direita e depois a sub-árvore da esquerda;Ambas as sub-árvores são percorridas ao mesmo tempo;Nenhuma das anteriores;Depende da estrutura específica da árvore;A
Qual é a propriedade fundamental de uma árvore binária de pesquisa?;Todos os elementos da sub-árvore à esquerda de um nó são menores que o próprio nó, e os elementos da sub-árvore à direita são maiores.;A raiz sempre contém o menor elemento da árvore;A árvore sempre contém um número ímpar de elementos;Os elementos são armazenados em uma lista encadeada;Nenhuma das anteriores;A
Como é realizada a inserção de um símbolo em uma árvore binária de pesquisa?;Se o símbolo é menor que a raiz, ele é colocado na sub-árvore da esquerda; se é maior, na sub-árvore da direita.;O símbolo é sempre inserido como filho à esquerda do nó atual;A inserção é realizada somente se o símbolo for igual à raiz.;A inserção é realizada somente se o símbolo for maior que a raiz.;A inserção é realizada somente se o símbolo for menor que a raiz.;C
Qual é o método utilizado para verificar se um símbolo pertence a uma árvore binária de pesquisa?;Comparar o símbolo com a raiz; se for menor, buscar na sub-árvore à esquerda; se for maior, buscar na sub-árvore à direita.;Percorrer a árvore de forma aleatória até encontrar o símbolo.;Realizar uma busca linear nos elementos da árvore.;Verificar apenas se o símbolo está na raiz da árvore.;Nenhuma das anteriores;A
Qual é o procedimento para remover um nó de uma árvore binária de pesquisa quando este possui apenas uma subárvore?;A subárvore do nó a ser removido passa a ocupar o lugar deste nó.;O nó é removido e seus filhos são colocados em uma nova árvore.;O nó é removido e seus filhos são redistribuídos entre os nós irmãos.;A subárvore do nó a ser removido é removida completamente da árvore.;Nenhuma das anteriores;A
Qual é a finalidade de reordenar as chaves de entrada em uma árvore binária de pesquisa balanceada?;Minimizar a altura da árvore para otimizar o desempenho das operações.;Maximizar o número de nodos na árvore para armazenar mais elementos.;Facilitar a remoção de elementos da árvore.;Reduzir a quantidade de operações de inserção.;Nenhuma das anteriores;A
Como é determinada a substituição de um nó a ser removido por um dos seus sucessores na remoção de um nó de uma árvore binária de pesquisa?;O maior nó da subárvore à esquerda ou o menor nó da subárvore à direita substitui o nó a ser removido.;O nó é removido e seus filhos são redistribuídos entre os nós irmãos.;O nó é substituído pelo menor nó da subárvore à esquerda.;O nó é substituído pelo maior nó da subárvore à direita.;Nenhuma das anteriores;A
Qual é a característica principal de uma árvore binária de pesquisa em relação à organização dos seus elementos quando enumerados através de um processo de busca em ordem?;Os valores armazenados são exibidos em uma lista, do menor para o maior;Os valores armazenados são exibidos em uma lista, do maior para o menor;Os valores armazenados não têm uma ordem específica;Os valores armazenados são exibidos em uma lista, de forma aleatória;Os valores armazenados são exibidos em uma lista, de acordo com a ordem de inserção;A
Qual é a ação apropriada a ser tomada quando o nó a ser removido de uma árvore binária de pesquisa é uma folha?;Apenas remover o nó da árvore.;Transferir a raiz da subárvore do nó para o lugar do nó excluído.;Reestruturar a árvore.;Trocar o valor do nó a ser removido com o valor do nó que possui a maior chave na sua subárvore à esquerda.;Trocar o valor do nó a ser removido com o valor do nó que possui a menor chave na sua subárvore à direita.;A
